Student Last Name, Student First Name, Student Number, Guadian Email,2016-12-7
Samantha,  Arkand,  491112,  ckssdonotreply@gmail.com, Not Checked,  , 
Shelley,  Beach,  281137,  ckssdonotreply@gmail.com, Not Checked,  , 
Clarissa,  Bell,  121171,  ckssdonotreply@gmail.com, Not Checked,  , 
Gerald,  Boame,  506900,  ckssdonotreply@gmail.com, Not Checked,  , 
Daniella,  Boyce,  130021,  ckssdonotreply@gmail.com, Not Checked,  , 
Cam,  Bridges,  440047,  ckssdonotreply@gmail.com, Not Checked,  , 
Bonny,  Day,  540004,  ckssdonotreply@gmail.com, Not Checked,  , 
Daniel,  D'Lionne,  250002,  ckssdonotreply@gmail.com, Not Checked,  , 
Kenneth,  Duguid,  700033,  ckssdonotreply@gmail.com, Not Checked,  , 
James,  Dundee,  140018,  ckssdonotreply@gmail.com, Not Checked,  , 
Samantha,  Hill,  570005,  ckssdonotreply@gmail.com, Not Checked,  , 
Heidi,  Ho,  740057,  ckssdonotreply@gmail.com, Not Checked,  , 
Roger,  Houston,  500715,  ckssdonotreply@gmail.com, Not Checked,  , 
Amber,  Hughes,  200084,  ckssdonotreply@gmail.com, Not Checked,  , 
Simon,  Ives,  991198,  ckssdonotreply@gmail.com, Not Checked,  , 
Joseph,  King,  991216,  ckssdonotreply@gmail.com, Not Checked,  , 
Mary,  Lee,  730090,  ckssdonotreply@gmail.com, Not Checked,  , 
Glenda,  Lowe,  211008,  ckssdonotreply@gmail.com, Not Checked,  , 
Peter,  Moss,  200087,  ckssdonotreply@gmail.com, Not Checked,  , 
Tam,  O'Shanter,  500659,  ckssdonotreply@gmail.com, Not Checked,  , 
Rick,  O'Shea,  431193,  ckssdonotreply@gmail.com, Not Checked,  , 
Stirling,  Silver,  441116,  ckssdonotreply@gmail.com, Not Checked,  , 
Roger,  Wilco,  570010,  ckssdonotreply@gmail.com, Not Checked,  , 
