Last Name,First Name,Number,Date of Birth,Gender,Home Form,Program,Course Code,Code Name,Phone #1,Phone #2,Student e-mail,Guardianemail,Notes
Abbott,Dave,3468238,20010208,M,8A,ICS4U101,,Zoltan,123-555-1234,,,ckssdonotreply@gmail.com,
Bolton,Marilyn,991204,20010619,F,8A,ICS4U101,,Foxy,,,,ckssdonotreply@gmail.com,
Henry,Lisa,700457,20010917,F,8A,ICS4U101,,Ace,,,,ckssdonotreply@gmail.com,
Peterson,Bob,702035,20010313,M,8A,ICS4U101,,Buddy,,,,ckssdonotreply@gmail.com,
Rhymes,John,991212,20010530,M,8B,ICS4U101,,Slack,,,,ckssdonotreply@gmail.com,
Slack,Jimmy,740010,20010301,M,8A,ICS4U101,,Star,,,skipper@awol.com,ckssdonotreply@gmail.com,
Tesora,Sylvia,170003,20010623,F,8C,ICS4U101,,Skipper,,,,ckssdonotreply@gmail.com,
Arkland,Samantha,400092,20010815,F,124,ICS4U101,,Isaac Newton,333-555-9999 (MW),333-555-1234 (DW)  333-555-0000 (Home),Sam_A@Hottmaill.com,<Dad@Hottmaill.com>; <Mom@Hottmaill.com>,
Beach,Shelly,280037,20011013,F,222,ICS4U101,,Albert Einstein,999-555-5555 (Home),123-456-7890 (MW)  555-555-5555 (FW),TheKid@awol.com,<Mom@office.com>; <Dad@work.com>,
Bell,Clarissa,100271,20010926,F,124,ICS4U101,,Aristotle,456-789-01234,123-555-1234,Clarissa@warmmail.com,parents@home.com,Asthma-Carries ventalin inhaler
Boame,Gerald,506009,20011106,M,118,ICS4U101,,Neils Bohr,,,,ckssdonotreply@gmail.com,
Boyce,Daniella,506010,20010523,F,115,ICS4U101,,Max Planck,,,,ckssdonotreply@gmail.com,
Bridges,Cam,506011,20010323,M,59,ICS4U101,,Socrates,,,,ckssdonotreply@gmail.com,
Day,Bonnie,506012,20010818,F,222,ICS4U101,,Marie Curie,,,,ckssdonotreply@gmail.com,Glasses (must wear)-For distance only
Duguid,Ken,506013,20010730,M,59,ICS4U101,,Leonardo da Vinci,,,,ckssdonotreply@gmail.com,IEP on file
Dundee,James,506014,20011109,M,136,ICS4U101,,Thomas Edison,,,,ckssdonotreply@gmail.com,
Hill,Samantha,506015,20011011,F,138,ICS4U101,,Galileo Galilei,,,,ckssdonotreply@gmail.com,
Ho,Heidi,506016,20010924,F,57,ICS4U101,,Chales Darwin,,,,ckssdonotreply@gmail.com,
Houston,Roger,506017,20011123,M,118,ICS4U101,,Archimedes,,,,ckssdonotreply@gmail.com,
Hughes,Amber,506018,20010901,F,120,ICS4U101,,Alexander Graham Bell,,,,ckssdonotreply@gmail.com,
Ives,Simon,991198,20010823,M,124,ICS4U101,,Alfred Nobel,,,,ckssdonotreply@gmail.com,
King,Joseph,991216,20010225,M,125,ICS4U101,,Benjamin Franklin,,,,ckssdonotreply@gmail.com,
Knott,Astrid,991245,20010612,F,124,ICS4U101,,Alessandro Volta,,,,ckssdonotreply@gmail.com,Glasses (must wear)
Lowe,Glenda,211778,20011115,F,122,ICS4U101,,James Joule,,,,ckssdonotreply@gmail.com,
Lyons,Melody,517750,20010814,F,122,ICS4U101,,John Dalton,,,,ckssdonotreply@gmail.com,
Moss,Peter,277787,20011001,M,118,ICS4U101,,Antoine Lavoisier,,,,ckssdonotreply@gmail.com,
O' Shanter,Tam,277788,20010624,M,118,ICS4U101,,Amedeo Avagadro,,,,ckssdonotreply@gmail.com,
O' Shea,Rick,277789,20010301,M,109,ICS4U101,,Gregor Mendel,,,,ckssdonotreply@gmail.com,
Silver,Stirling,277790,20010802,M,59,ICS4U101,,Charles de Coulomb,,,,ckssdonotreply@gmail.com,IEP on file
Stone,Edward,277791,20010308,M,59,ICS4U101,,Robert Boyle,,,,ckssdonotreply@gmail.com,Allergies
ZZ1,Marilyn,991209,,F,9C,ENG2D101,,James Maxwell,,,,ckssdonotreply@gmail.com,Glasses (must wear)
ZZ2,Frank,991210,,M,9D,ENG2D101,,Ernest Rutherford,,,,ckssdonotreply@gmail.com,
ZZ3,Lisa,991211,,F,200/GYM3,ENG2D101,,Blaise Pascale,,,,ckssdonotreply@gmail.com,Notes-Pregnant (Oct 05) allergies dust  grass  pollen;Asthma-Uses inhaler
ZZ4,Mary,777388,,F,118 PRO,ENG2D101,,Tom Newcomen,,,,ckssdonotreply@gmail.com,
ZZ5,Robert,707173,,M,052 BRT,ENG2D101,,Wilhelm Rontgen,,,,ckssdonotreply@gmail.com,Allergies-ventolin
ZZ6,Ian,577721,,M,112,ENG2D101,,Michael Faraday,,,,ckssdonotreply@gmail.com,
ZZ7,Saul,177889,,M,9D,ENG2D101,,Edwin Hubble,,,,ckssdonotreply@gmail.com,
ZZ8,Lois,133451,,F,9B,ENG2D101,,Louis Pasteur,,,,ckssdonotreply@gmail.com,
Arkand,Samantha,491112,20030910,F,08D,SNC2D101,,Mr. Ebtek,555 8655,555 1175,,ckssdonotreply@gmail.com,
Beach,Shelley,281137,20030618,F,08D,SNC2D101,,Starshine,555 3758,555 4243,,ckssdonotreply@gmail.com,
Bell,Clarissa,121171,20031027,F,08D,SNC2D101,,Stale Turkey Breast,555 3518,,,ckssdonotreply@gmail.com,
Boame,Gerald,506900,20030206,M,08D,SNC2D101,,Noo,555 6658,555 7300 x2013,,ckssdonotreply@gmail.com,
Boyce,Daniella,130021,20030505,F,08D,SNC2D101,,Cyber6,555 8715,555 6647,,ckssdonotreply@gmail.com,
Bridges,Cam,440047,20030509,M,08D,SNC2D101,,New Guy,555 8577,,,ckssdonotreply@gmail.com,
Day,Bonny,540004,20031211,F,08D,SNC2D101,,Cora 86,555 1301,,,ckssdonotreply@gmail.com,
D'Lionne,Daniel,250002,20030822,M,8D,SNC2D101,,One Hundred Percent,,,,ckssdonotreply@gmail.com,
Duguid,Kenneth,700033,20030529,M,08D,SNC2D101,,Ups!,555 0114,,,ckssdonotreply@gmail.com,
Dundee,James,140018,20030220,M,08D,SNC2D101,,The Filter,555 1039,555 4001 x2607,,ckssdonotreply@gmail.com,
Hill,Samantha,570005,20031109,F,08D,SNC2D101,,Giget,555 1112,555 1112,,ckssdonotreply@gmail.com,
Ho,Heidi,740057,20031230,F,08D,SNC2D101,,Let's Eat,555 0462,555 5483,,ckssdonotreply@gmail.com,
Houston,Roger,500715,20030222,M,08D,SNC2D101,,Snap,555 5260,555 7605,,ckssdonotreply@gmail.com,
Hughes,Amber,200084,20030201,F,08D,SNC2D101,,Ms. Impossible,555 9353,,,ckssdonotreply@gmail.com,
Ives,Simon,991198,20030421,M,08D,SNC2D101,,Squall,555 7769,555 3551,,ckssdonotreply@gmail.com,
King,Joseph,991216,20030523,M,08D,SNC2D101,,Mad Dog,555 2988,555 6035,,ckssdonotreply@gmail.com,
Lee,Mary,730090,20030216,F,8D,SNC2D101,,Mr. Grouchy,,,,ckssdonotreply@gmail.com,
Lowe,Glenda,211008,20030429,F,08D,SNC2D101,,Mr. Wong,555 2650,555 7337 x0226,,ckssdonotreply@gmail.com,
Moss,Peter,200087,20030514,M,08D,SNC2D101,,Old Navy,555 3972,555 2401,,ckssdonotreply@gmail.com,
O'Shanter,Tam,500659,20030209,M,8D,SNC2D101,,Baadshah,555 3911,,,ckssdonotreply@gmail.com,
O'Shea,Rick,431193,20031016,M,08D,SNC2D101,,Heat,555 6465,,,ckssdonotreply@gmail.com,
Silver,Stirling,441116,20031202,M,08D,SNC2D101,,Spiderman,555 9596,555 6406,,ckssdonotreply@gmail.com,
Wilco,Roger,570010,20030921,M,08D,SNC2D101,,Spell Bound,555 9799,,,ckssdonotreply@gmail.com,
