Student Last Name, Student First Name, Student Number, Guadian Email,2016-12-7
Abbott,Dave,231136,20010208
Bolton,Marilyn,991204,20010619
Henry,Lisa,700457,20010917
Peterson,Bob,702035,20010313
Rhymes,John,991212,20010530
Slack,Jimmy,740010,20010301
Tesora,Sylvia,170003,20010623
Arkland,Samantha,400092,20010815
Beach,Shelly,280037,20011013
Bell,Clarissa,100271,20010926
Boame,Gerald,506009,20011106
Boyce,Daniella,506010,20010523
Bridges,Cam,506011,20010323
Day,Bonnie,506012,20010818
Duguid,Ken,506013,20010730
Dundee,James,506014,20011109
Hill,Samantha,506015,20011011
Ho,Heidi,506016,20010924
Houston,Roger,506017,20011123
Hughes,Amber,506018,20010901
Ives,Simon,991198,20010823
King,Joseph,991216,20010225
Knott,Astrid,991245,20010612
Lowe,Glenda,211778,20011115
Lyons,Melody,517750,20010814
Moss,Peter,277787,20011001
O' Shanter,Tam,277788,20010624
O' Shea,Rick,277789,20010301
Silver,Stirling,277790,20010802
Stone,Edward,277791,20010308
ZZ1,Marilyn,991209,
ZZ2,Frank,991210,
ZZ3,Lisa,991211,
ZZ4,Mary,777388,
ZZ5,Robert,707173,
ZZ6,Ian,577721,
ZZ7,Saul,177889,
ZZ8,Lois,133451,
Arkand,Samantha,491112,20030910
Beach,Shelley,281137,20030618
Bell,Clarissa,121171,20031027
Boame,Gerald,506900,20030206
Boyce,Daniella,130021,20030505
Bridges,Cam,440047,20030509
Day,Bonny,540004,20031211
D'Lionne,Daniel,250002,20030822
Duguid,Kenneth,700033,20030529
Dundee,James,140018,20030220
Hill,Samantha,570005,20031109
Ho,Heidi,740057,20031230
Houston,Roger,500715,20030222
Hughes,Amber,200084,20030201
Ives,Simon,991198,20030421
King,Joseph,991216,20030523
Lee,Mary,730090,20030216
Lowe,Glenda,211008,20030429
Moss,Peter,200087,20030514
O'Shanter,Tam,500659,20030209
O'Shea,Rick,431193,20031016
Silver,Stirling,441116,20031202
Wilco,Roger,570010,20030921
